gene	num_common_functional	total_coding_variants
LYPD5	2	446
MAFB	0	572
MAMSTR	2	734
MAP1S	9	2487
MAP2K2	0	755
MAP2K7	0	659
MAP3K10	3	1802
MAP4K1	2	1069
MAPRE1	0	320
MARCHF2	2	483
MARK4	1	1027
MAST1	0	1526
MATK	1	959
MAU2	0	615
MBOAT7	2	1094
MC3R	2	622
MCM3AP	8	3663
MCOLN1	1	685
MED25	2	1438
MED26	1	1173
MED29	0	145
MEGF8	9	5179
MFSD12	1	427
MIA	0	234
MIER2	4	1129
MIS18A	1	452
MISP	10	1604
MKKS	6	969
MKNK2	3	1082
MLLT1	1	864
MMP24	2	908
MMP9	10	1444
MOB3A	2	482
MOCS3	0	12
MORC3	2	1093
MRAP	3	350
MRGBP	0	352
MRI1	7	765
MRPL4	4	645
MRPL54	0	89
MRPS6	0	2
MTCL2	8	2952
MTG2	6	846
MVB12A	5	554
MX2	3	1267
MYBL2	3	1158
MYBPC2	18	2277
MYDGF	1	383
MYL9	0	282
MYLK2	3	1029
MYPOP	0	515
MYT1	5	1610
MZF1	10	1753
NACC1	3	788
NANOS2	1	270
NANOS3	0	354
NANP	0	87
NAPA	0	494
NAPB	2	299
NAPSA	3	806
NAT14	2	517
NCAM2	0	37
NCAN	3	2181
NCCRP1	0	256
NCLN	3	1162
NCOA5	0	392
NCOA6	4	3167
NCR1	1	586
NDRG3	0	557
NDUFA11	0	309
NDUFA7	2	273
NDUFB7	0	327
NDUFS7	1	417
NECAB3	4	745
NECTIN2	3	801
NFATC2	2	1752
NFKBIB	1	566
NINL	13	2719
NKG7	2	326
NKX2-2	2	610
NLRP11	8	1860
NLRP12	7	2280
NLRP13	8	2098
NLRP4	10	1884
NLRP8	17	1939
NLRP9	5	641
NMRK2	1	535
NOP53	8	1068
NOP56	5	1035
NOTCH3	12	4274
NOVA2	0	679
NPEPL1	4	1115
NR1H2	0	945
NR2F6	1	522
NRIP1	10	2004
NRSN2	1	381
NSFL1C	3	597
NTN5	5	1052
NTSR1	9	1023
NUCB1	3	788
NUDT19	3	1124
NUMBL	3	930
NXNL1	5	424
NXT1	0	149
OCEL1	4	611
OCSTAMP	5	1043
ODAD3	6	1202
OGFR	10	1299
OLFM2	2	459
OPA3	0	357
OPRL1	2	645
OR10H2	0	25
OR10H3	6	576
OR10H4	7	576
OR7A10	9	530
OR7A17	5	549
OR7A5	6	484
OR7C2	2	546
OR7E24	3	530
OR7G1	9	544
OR7G2	4	532
OR7G3	8	511
OSBPL2	1	709
OSER1	1	462
OTOR	1	264
OVOL2	2	524
OXT	0	267
PABPC1L	6	1117
PAF1	0	735
PAFAH1B3	0	98
PAK5	4	1184
PARD6B	3	581
PAXBP1	0	51
PBX4	2	646
PCIF1	0	459
PCK1	9	1196
PCNA	0	170
PCNT	46	6463
PCP2	1	94
PCP4	0	83
PCSK2	0	887
PCSK4	6	1006
PDCD2L	1	710
PDE4A	1	236
PDE4C	4	1319
PDE9A	2	1025
PDRG1	0	255
PDXK	1	551
PDYN	2	484
PEAK3	3	1128
PEDS1	2	369
PEG3	15	2738
PEPD	6	1050
PEX11G	2	522
PFDN4	0	174
PFKL	1	1073
PGLS	3	623
PGLYRP1	1	374
PHF20	1	522
PHLDB3	6	1482
PI3	5	219
PIAS4	1	911
PIGU	1	742
PIH1D1	4	516
PIK3R2	6	1415
PIN1	1	286
PIP5K1C	3	1329
PKN1	4	1934
PKNOX1	0	700
PLCB1	3	1620
PLEKHA4	8	1536
PLEKHF1	0	623
PLIN3	4	914
PLIN4	28	2722
PLIN5	7	882
PLVAP	3	863
PNKP	5	1434
PNMA8A	3	783
POFUT1	2	381
POLD1	7	1515
POLR3F	0	219
POLRMT	3	690
PPAN	4	1122
PPFIA3	2	1374
PPP1R12C	5	1153
PPP1R13L	2	1746
PPP1R14A	3	318
PPP1R15A	12	1267
PPP1R16B	2	836
PPP1R37	6	1353
PPP2R1A	1	744
PPP5C	0	607
PPP6R1	5	1260
PRAM1	4	1044
PRDX2	0	354
PRELID3B	0	99
PREX1	11	2567
PRKACA	0	277
PRKCG	0	1071
PRKD2	5	1247
PRND	3	337
PRNP	3	426
PROCR	2	453
PRPF31	0	744
PRPF6	0	1205
PRR12	8	3134
PRRG2	3	415
PRSS57	1	317
PRTN3	3	583
PSMC4	0	489
PSMD8	0	704
PSMG1	2	500
PSPN	1	366
PTGIR	5	840
PTGIS	2	989
PTH2	1	217
PTOV1	0	404
PTPN1	0	392
PTPRS	7	3760
PTTG1IP	2	350
PYGB	4	1739
QPCTL	5	736
QTRT1	1	820
R3HDM4	2	555
R3HDML	4	466
RAB11B	0	341
RAB22A	0	282
RAB3A	0	317
RAB3D	2	348
RAB4B	0	273
RAB8A	0	287
RABAC1	0	388
RALGAPA2	6	3181
RALGAPB	3	2071
RALY	1	472
RASAL3	4	918
RASIP1	3	1818
RBBP8NL	12	1390
RBBP9	0	333
RBM11	7	450
RBM39	0	398
RBM42	1	678
RBPJL	5	1049
RCAN1	0	445
RCN3	5	537
REEP6	2	422
RELB	0	1102
REM1	1	586
RETN	0	239
REX1BD	2	465
REXO1	13	2736
RFX1	6	1764
RFX2	5	1207
RFXANK	2	479
RGL3	4	636
RHPN2	0	124
RIMS4	0	335
RIN2	11	1617
RIPK4	5	1447
